scan_idx,timestamp_unix_s,num_points
964,1773244992.825432,253
965,1773244992.904710,256
966,1773244992.985354,258
967,1773244993.064848,259
968,1773244993.145185,257
969,1773244993.225092,261
970,1773244993.305742,258
971,1773244993.385857,260
972,1773244993.466962,262
973,1773244993.546072,261
974,1773244993.627753,265
975,1773244993.706548,256
976,1773244993.787754,262
977,1773244993.868167,254
978,1773244993.947352,259
979,1773244994.028226,254
980,1773244994.107676,258
981,1773244994.187687,257
982,1773244994.268089,256
983,1773244994.348784,259
984,1773244994.428752,258
985,1773244994.508494,261
986,1773244994.590017,262
987,1773244994.669486,252
988,1773244994.749724,260
989,1773244994.829998,260
990,1773244994.909928,261
991,1773244994.991197,258
992,1773244995.070896,261
993,1773244995.150143,256
994,1773244995.231969,261
995,1773244995.311060,260
996,1773244995.390782,261
997,1773244995.470485,264
998,1773244995.550948,254
999,1773244995.631472,262
1000,1773244995.711705,261
1001,1773244995.791366,261
1002,1773244995.870883,262
1003,1773244995.950452,256
1004,1773244996.031513,263
1005,1773244996.111376,262
1006,1773244996.191833,261
1007,1773244996.271499,260
1008,1773244996.352139,264
1009,1773244996.432040,260
1010,1773244996.511471,261
1011,1773244996.591405,257
1012,1773244996.670753,258
1013,1773244996.751564,258
1014,1773244996.831709,258
1015,1773244996.911121,262
1016,1773244996.991213,262
1017,1773244997.071554,264
1018,1773244997.151764,261
1019,1773244997.230773,258
1020,1773244997.312036,261
1021,1773244997.390784,259
1022,1773244997.470711,262
1023,1773244997.550866,262
1024,1773244997.631362,262
1025,1773244997.711038,260
1026,1773244997.791709,264
1027,1773244997.871181,257
1028,1773244997.951086,263
1029,1773244998.032476,263
1030,1773244998.112463,262
1031,1773244998.191604,258
1032,1773244998.273169,258
1033,1773244998.352872,263
1034,1773244998.433080,261
1035,1773244998.513770,260
1036,1773244998.593022,261
1037,1773244998.673015,257
1038,1773244998.752288,261
1039,1773244998.833876,262
1040,1773244998.912860,259
1041,1773244998.992458,257
1042,1773244999.073765,264
1043,1773244999.153985,257
1044,1773244999.232935,264
1045,1773244999.313568,259
1046,1773244999.393268,255
1047,1773244999.473518,253
1048,1773244999.553784,253
1049,1773244999.633528,261
1050,1773244999.713043,258
1051,1773244999.794737,259
1052,1773244999.874697,259
1053,1773244999.954118,260
1054,1773245000.034564,261
1055,1773245000.115122,258
1056,1773245000.194906,259
1057,1773245000.275252,256
